driver_1,driver_2,constructorId,year,driver_1_points,driver_2_points
356,627,105,1956,0,2
356,633,105,1956,0,2
356,638,105,1956,0,0
356,640,105,1956,0,0
356,806,105,1956,0,0
456,475,105,1956,0,28
456,496,105,1956,0,0
456,498,105,1956,0,0
456,501,105,1956,0,0
456,506,105,1956,0,0
456,547,105,1956,0,2
456,554,105,1956,0,22
456,578,105,1956,0,4
456,580,105,1956,0,6
456,583,105,1956,0,2
456,586,105,1956,0,0
456,589,105,1956,0,0
456,607,105,1956,0,3
456,609,105,1956,0,0
456,620,105,1956,0,0
456,622,105,1956,0,2
456,623,105,1956,0,0
456,624,105,1956,0,0
456,627,105,1956,0,2
456,633,105,1956,0,2
456,638,105,1956,0,0
456,640,105,1956,0,0
456,806,105,1956,0,0
475,496,105,1956,28,0
475,498,105,1956,28,0
475,501,105,1956,28,0
475,506,105,1956,28,0
475,547,105,1956,28,2
475,554,105,1956,28,22
475,578,105,1956,28,4
475,580,105,1956,28,6
475,583,105,1956,28,2
475,586,105,1956,28,0
475,589,105,1956,28,0
475,607,105,1956,28,3
475,609,105,1956,28,0
475,620,105,1956,28,0
475,622,105,1956,28,2
475,623,105,1956,28,0
475,624,105,1956,28,0
475,627,105,1956,28,2
475,633,105,1956,28,2
475,638,105,1956,28,0
475,640,105,1956,28,0
475,806,105,1956,28,0
496,498,105,1956,0,0
496,501,105,1956,0,0
496,506,105,1956,0,0
496,547,105,1956,0,2
496,554,105,1956,0,22
496,578,105,1956,0,4
496,580,105,1956,0,6
496,583,105,1956,0,2
496,586,105,1956,0,0
496,589,105,1956,0,0
496,607,105,1956,0,3
496,609,105,1956,0,0
496,620,105,1956,0,0
496,622,105,1956,0,2
496,623,105,1956,0,0
496,624,105,1956,0,0
496,627,105,1956,0,2
496,633,105,1956,0,2
496,638,105,1956,0,0
496,640,105,1956,0,0
496,806,105,1956,0,0
498,501,105,1956,0,0
498,506,105,1956,0,0
498,547,105,1956,0,2
498,554,105,1956,0,22
498,578,105,1956,0,4
498,580,105,1956,0,6
498,583,105,1956,0,2
498,586,105,1956,0,0
498,589,105,1956,0,0
498,607,105,1956,0,3
498,609,105,1956,0,0
498,620,105,1956,0,0
498,622,105,1956,0,2
498,623,105,1956,0,0
498,624,105,1956,0,0
498,627,105,1956,0,2
498,633,105,1956,0,2
498,638,105,1956,0,0
498,640,105,1956,0,0
498,806,105,1956,0,0
501,506,105,1956,0,0
501,547,105,1956,0,2
501,554,105,1956,0,22
501,578,105,1956,0,4
501,580,105,1956,0,6
501,583,105,1956,0,2
501,586,105,1956,0,0
501,589,105,1956,0,0
501,607,105,1956,0,3
501,609,105,1956,0,0
501,620,105,1956,0,0
501,622,105,1956,0,2
501,623,105,1956,0,0
501,624,105,1956,0,0
501,627,105,1956,0,2
501,633,105,1956,0,2
501,638,105,1956,0,0
501,640,105,1956,0,0
501,806,105,1956,0,0
506,547,105,1956,0,2
506,554,105,1956,0,22
506,578,105,1956,0,4
506,580,105,1956,0,6
506,583,105,1956,0,2
506,586,105,1956,0,0
506,589,105,1956,0,0
506,607,105,1956,0,3
506,609,105,1956,0,0
506,620,105,1956,0,0
506,622,105,1956,0,2
506,623,105,1956,0,0
506,624,105,1956,0,0
506,627,105,1956,0,2
506,633,105,1956,0,2
506,638,105,1956,0,0
506,640,105,1956,0,0
506,806,105,1956,0,0
547,554,105,1956,2,22
547,578,105,1956,2,4
547,580,105,1956,2,6
547,583,105,1956,2,2
547,586,105,1956,2,0
547,589,105,1956,2,0
547,607,105,1956,2,3
547,609,105,1956,2,0
547,620,105,1956,2,0
547,622,105,1956,2,2
547,623,105,1956,2,0
547,624,105,1956,2,0
547,627,105,1956,2,2
547,633,105,1956,2,2
547,638,105,1956,2,0
547,640,105,1956,2,0
547,806,105,1956,2,0
554,578,105,1956,22,4
554,580,105,1956,22,6
554,583,105,1956,22,2
554,586,105,1956,22,0
554,589,105,1956,22,0
554,607,105,1956,22,3
554,609,105,1956,22,0
554,620,105,1956,22,0
554,622,105,1956,22,2
554,623,105,1956,22,0
554,624,105,1956,22,0
554,627,105,1956,22,2
554,633,105,1956,22,2
554,638,105,1956,22,0
554,640,105,1956,22,0
554,806,105,1956,22,0
578,580,105,1956,4,6
578,583,105,1956,4,2
578,586,105,1956,4,0
578,589,105,1956,4,0
